process_step,average_duration,total_duration,Completion Rate High Balance,Completion Rate Low Balance,Bounce Rate,Error Rate,group
start,19.615221,87.773669,2.220182446597541,1.968533383700066,18.02,25.7,Control
step_1,8.867763,87.773669,2.220182446597541,1.968533383700066,18.02,25.7,Control
step_2,3.372915,87.773669,2.220182446597541,1.968533383700066,18.02,25.7,Control
step_3,7.408274,87.773669,2.220182446597541,1.968533383700066,18.02,25.7,Control
verified,87.773669,87.773669,2.220182446597541,1.968533383700066,18.02,25.7,Control
start,17.070567,86.26939,2.7872400702589384,2.4288412503541412,10.81,25.9,Test
step_1,6.881706,86.26939,2.7872400702589384,2.4288412503541412,10.81,25.9,Test
step_2,2.757191,86.26939,2.7872400702589384,2.4288412503541412,10.81,25.9,Test
step_3,5.453728,86.26939,2.7872400702589384,2.4288412503541412,10.81,25.9,Test
verified,86.26939,86.26939,2.7872400702589384,2.4288412503541412,10.81,25.9,Test
