process_step,average_duration,total_duration,Completion Rate High Balance,Completion Rate Low Balance,Bounce Rate,Error Rate,group
start,19.615221,87.773669,0.6105858706171369,0.5641747618377212,18.02,25.7,Control
step_1,8.867763,87.773669,0.6105858706171369,0.5641747618377212,18.02,25.7,Control
step_2,3.372915,87.773669,0.6105858706171369,0.5641747618377212,18.02,25.7,Control
step_3,7.408274,87.773669,0.6105858706171369,0.5641747618377212,18.02,25.7,Control
verified,87.773669,87.773669,0.6105858706171369,0.5641747618377212,18.02,25.7,Control
start,15.030075,85.423748,0.7192734311025087,0.6458773288281947,10.81,25.9,Test
step_1,5.384352,85.423748,0.7192734311025087,0.6458773288281947,10.81,25.9,Test
step_2,2.227117,85.423748,0.7192734311025087,0.6458773288281947,10.81,25.9,Test
step_3,3.706426,85.423748,0.7192734311025087,0.6458773288281947,10.81,25.9,Test
verified,85.423748,85.423748,0.7192734311025087,0.6458773288281947,10.81,25.9,Test
