client_id,client_yr_tenure,client_mo_tenure,client_age,gender,num_accts,balance,calls_6m,logins_6m,age_group
836976,6,73,60,Unknown,2,45105.3,6,9,40-64
2304905,7,94,58,Unknown,2,110860.3,6,9,40-64
1439522,5,64,32,Unknown,2,52467.78999999999,6,9,25-39
1562045,16,198,49,Male,2,67454.65,3,6,40-64
5126305,12,145,33,Female,2,103671.75,0,3,25-39
3727881,5,71,30,Unknown,2,23915.6,0,3,25-39
272934,5,66,58,Unknown,2,27021.42,2,5,40-64
388801,30,361,57,Male,5,522498.72,1,4,40-64
285619,30,369,67,Male,2,299388.72,3,6,65+
8198645,15,189,54,Female,2,382303.83,6,9,40-64
8368822,8,100,34,Unknown,2,75578.54000000001,0,3,25-39
2537139,8,99,51,Unknown,2,135940.68,6,9,40-64
2208717,5,67,33,Unknown,2,29782.96,6,9,25-39
2214073,16,193,62,Male,3,136818.03,6,9,40-64
2368987,5,71,54,Unknown,2,44408.869999999995,2,5,40-64
2892152,4,58,36,Unknown,2,46815.48,5,8,25-39
4536541,3,47,74,Unknown,2,47804.5,1,4,65+
3788589,10,122,32,Male,2,30750.76,0,3,25-39
719792,11,136,31,Female,2,111736.78,5,8,25-39
5904035,8,101,25,Unknown,2,27848.76,3,6,25-39
1502049,8,100,31,Unknown,2,28952.15,0,3,25-39
6590646,8,103,42,Female,3,2768726.87,5,8,40-64
7585111,5,70,42,Unknown,3,36621.41,1,4,40-64
3638336,12,152,30,Male,3,54296.67,3,6,25-39
9520009,13,160,30,Male,2,61062.57,6,9,25-39
1508759,6,80,58,Unknown,2,66514.85,4,7,40-64
9381346,7,88,62,Unknown,2,272252.76,0,3,40-64
7035604,7,86,30,Unknown,2,28175.92,1,4,25-39
3055315,5,65,34,Female,2,66560.69,1,5,25-39
3350906,5,68,55,Unknown,2,88627.18,2,5,40-64
2109862,7,93,38,Unknown,2,35917.29,2,5,25-39
1549737,7,94,68,Unknown,2,35608.94,1,4,65+
7474517,6,73,52,Unknown,2,53993.47,4,7,40-64
6448014,7,85,57,Unknown,2,82787.45999999999,6,9,40-64
6651826,8,103,34,Unknown,2,44696.97,0,3,25-39
2305285,14,168,54,Male,2,132347.89,6,9,40-64
5889920,11,142,33,Male,2,106249.03,1,4,25-39
3065089,19,228,63,Male,2,439723.43,6,9,40-64
313570,18,223,48,Female,2,75124.07,2,5,40-64
9721424,12,152,32,Female,2,29667.6,0,3,25-39
3753796,25,305,66,Female,2,214661.75,6,9,65+
6647577,23,286,68,Female,3,86005.57,2,5,65+
6341488,23,285,65,Female,2,116534.46,5,8,65+
838619,23,280,60,Female,2,131309.81,0,3,40-64
2000151,21,254,38,Female,2,136515.53999999998,6,9,25-39
6579978,21,253,74,Male,2,71192.58,1,4,65+
8475126,23,278,51,Male,3,327091.01999999996,3,6,40-64
7419744,18,221,49,Unknown,2,162233.71000000002,0,3,40-64
9796602,18,216,46,Female,2,25827.39,0,3,40-64
1329260,17,212,63,Female,2,666138.27,5,8,40-64
4821014,17,204,62,Male,2,45073.259999999995,1,4,40-64
7906602,21,260,54,Female,2,39725.28,2,5,40-64
2671231,5,68,23,Unknown,2,43062.3,1,4,18-24
9587439,5,66,26,Unknown,2,28875.65,6,9,25-39
5542798,9,116,56,Male,2,79888.68,5,8,40-64
5977906,10,130,76,Female,2,82916.93,3,6,65+
7928244,14,177,33,Female,2,105416.69,6,9,25-39
4906392,13,159,27,Female,2,52600.869999999995,2,5,25-39
3939684,15,190,60,Female,2,48166.13,1,4,40-64
3731320,7,89,39,Unknown,2,34487.99,6,9,40-64
9055726,5,70,25,Unknown,3,33261.64,6,9,25-39
5808972,5,66,23,Unknown,2,29898.98,0,3,18-24
7414763,7,91,27,Unknown,2,53219.649999999994,6,9,25-39
1531616,10,129,60,Male,2,100777.88,6,9,40-64
8387066,27,329,66,Male,2,406190.96,6,9,65+
3402999,7,92,39,Unknown,2,56527.899999999994,0,3,40-64
8593187,14,168,56,Male,3,207559.95,6,9,40-64
5908339,15,190,40,Female,2,205785.55,5,8,40-64
4442018,6,82,33,Unknown,2,65264.869999999995,6,9,25-39
5727622,6,73,52,Unknown,3,109130.47,4,7,40-64
3284361,12,152,31,Female,2,28085.99,1,4,25-39
6666515,14,169,38,Unknown,2,59526.369999999995,2,5,25-39
